NAME,DATE,N_ASD,N_NT,AGE_ASD,AGE_NT,GEND_RAT_ASD,GEND_RAT_NT,ADOS_TOT,ADOS_SA,AQ_ASD ,AQ_NT,STIM_TYPE,AUDIO,STIM_DUR,INSTRUCT,MEASURE,AOI,AOIn,METHOD,M_SOC_ASD,SD_SOC_ASD,M_SOC_NT,SD_SOC_TD,Pool,p,t,d,dir,F,Flag,ISNEW
Amso et al ,2014,15,15,3.53,3.73,1.5,1.5,21.8,18.47,,,IMAGE OFINDOOR AND OUTDOOR SCENES CONTAINING A PERSON,0,5,1,1,FACEvNONFACE,1,1,25,11.62,27,11.62,1,,,,,,0,0
Bird et al ,2011,13,13,40.5,32.8,3.3,,10.46,,,,VIDEO SOCIAL INTERACTION FROM SOAP OPERA,1,49.75,1,1,FACEVNONFACE,1,1,0.45,0.13,0.55,0.07,2,,,,,,0,0
Birmingham et al,2011,9,5,31.6,32.6,8,5,13.9,8.3,,,IMAGE OF A PERSON IN WAITING ROOM,0,15,4,1,PERSONvBACKGROUND,2,1,56.77,15.91,58.83,16.42,3,,,,,,0,0
Chawarksa et al_dyadic,2012,54,48,1.8,1.708333333,5.66,2.7,20.06,15.9,,,VIDEO OF PERSON ENGAGING WIH OBSERVER,1,69,2,1,PERSONvBACKGROUND,2,1,63,17.98,73.5,11.14,4,,,,,,0,0
Chawarksa et al_sandwich,2012,54,48,1.8,1.708333333,5.66,2.7,20.06,15.9,,,VIDEO OF PERSON MAKING SANDWICH,1,63,1,1,PERSONvBACKGROUND,2,1,64.9,21.78,66.9,14.09,4,,,,,,0,0
Chawarksa et al_joint,2012,54,48,1.8,1.708333333,5.66,2.7,20.06,15.9,,,VIDEO OF PERSON LOOKING AT CAMERA AND THEN TURNING TO TOY,1,30,6,1,PERSONvBACKGROUND,2,1,80.9,10.68,85.1,7.54,4,,,,,,0,0
Chawarksa et al_moving,2012,54,48,1.8,1.708333333,5.66,2.7,20.06,15.9,,,VIDEO OF PERSON TURNING AWAY FROM NOISE,1,27,1,1,PERSONvBACKGROUND,2,1,18.9,12,16.5,8.41,4,,,,,,0,0
Chawarska et al ,2013,12,35,0.54,0.53,1.777777778,1.222222222,13.2,,,,SAME CONDITIONS AS CHAWARSKA 2012 VIDEO,1,47.25,6,1,PERSONvBACKGROUND,2,1,55.6,11.04,64.97,5.56,5,,,,,,0,0
Chevailier et al _dynamic,2015,59,22,12.3,14.9,13.75,22,11.68,,,,STATIC IMAGES OF OBJECTS AND PEOPLE,0,10,1,1,SOCIALvOBJECT,2,1,0.2,0.07,0.24,0.04,6,,,,,,0,0
Chevailier et al_interactive ,2015,59,22,12.3,14.9,13.75,22,11.68,,,,DYNAMIC VIDEOS OF OBJECTS AND PEOPLE,0,15,1,1,SOCIALvOBJECT,2,1,0.35,0.21,0.42,0.14,6,,,,,,0,0
